,,
,,
Order Date,Sum of Sales,Sum of Profit
11/5/2014,10668,-3987
11/6/2014,2355,525
11/7/2014,4289,563
11/8/2014,2413,120
11/9/2014,384,145
11/10/2014,4751,1219
11/11/2014,4008,-111
11/12/2014,1815,283
11/13/2014,2911,-38
11/14/2014,6633,-398
11/15/2014,835,31
11/16/2014,559,55
11/17/2014,4755,539
11/18/2014,13695,5895
11/19/2014,1470,254
11/20/2014,7397,-1659
11/21/2014,2988,555
11/22/2014,2236,301
11/23/2014,36,2
11/24/2014,1153,213
11/25/2014,4960,936
11/26/2014,3666,-59
11/27/2014,5048,1251
11/28/2014,1618,643
11/29/2014,6913,329
11/30/2014,492,68
12/1/2014,6645,50
12/2/2014,5331,719
12/3/2014,9951,-7
12/4/2014,1404,281
12/5/2014,2640,-22
12/6/2014,1453,448
12/7/2014,11,3
12/8/2014,2917,-2687
12/9/2014,7643,1155
12/10/2014,5470,1487
12/11/2014,3874,716
12/12/2014,2824,-82
12/14/2014,581,99
12/15/2014,3898,215
12/16/2014,307,53
12/17/2014,859,171
12/18/2014,2028,303
12/19/2014,3646,841
12/20/2014,1896,-152
12/21/2014,378,177
12/22/2014,2141,571
12/23/2014,7442,957
12/24/2014,1927,284
12/25/2014,6233,1568
12/26/2014,2699,359
12/27/2014,815,61
12/28/2014,178,-32
12/29/2014,1657,253
12/30/2014,2916,644
12/31/2014,714,102
